LLM 总参数量: 25960960
LoRA 参数量: 131072
LoRA 参数占比: 0.50%
Epoch:[1/20](0/319) loss:2.766 lr:0.000110000000 epoch_Time:26.0min:
Epoch:[1/20](100/319) loss:3.039 lr:0.000109939395 epoch_Time:0.0min:
Epoch:[1/20](200/319) loss:2.836 lr:0.000109757726 epoch_Time:0.0min:
Epoch:[1/20](300/319) loss:2.499 lr:0.000109455433 epoch_Time:0.0min:
Epoch:[2/20](0/319) loss:2.772 lr:0.000109384417 epoch_Time:27.0min:
Epoch:[2/20](100/319) loss:2.943 lr:0.000108939562 epoch_Time:0.0min:
Epoch:[2/20](200/319) loss:2.757 lr:0.000108376067 epoch_Time:0.0min:
Epoch:[2/20](300/319) loss:1.713 lr:0.000107695298 epoch_Time:0.0min:
Epoch:[3/20](0/319) loss:2.678 lr:0.000107552826 epoch_Time:29.0min:
Epoch:[3/20](100/319) loss:2.881 lr:0.000106734675 epoch_Time:0.0min:
Epoch:[3/20](200/319) loss:2.720 lr:0.000105803229 epoch_Time:0.0min:
Epoch:[3/20](300/319) loss:1.399 lr:0.000104760746 epoch_Time:0.0min:
Epoch:[4/20](0/319) loss:2.542 lr:0.000104550326 epoch_Time:29.0min:
Epoch:[4/20](100/319) loss:2.810 lr:0.000103379025 epoch_Time:0.0min:
Epoch:[4/20](200/319) loss:2.690 lr:0.000102102563 epoch_Time:0.0min:
Epoch:[4/20](300/319) loss:1.232 lr:0.000100724037 epoch_Time:0.0min:
Epoch:[5/20](0/319) loss:2.452 lr:0.000100450850 epoch_Time:27.0min:
Epoch:[5/20](100/319) loss:2.759 lr:0.000098955239 epoch_Time:0.0min:
Epoch:[5/20](200/319) loss:2.664 lr:0.000097365193 epoch_Time:0.0min:
Epoch:[5/20](300/319) loss:1.120 lr:0.000095684566 epoch_Time:0.0min:
Epoch:[6/20](0/319) loss:2.393 lr:0.000095355339 epoch_Time:28.0min:
Epoch:[6/20](100/319) loss:2.720 lr:0.000093572247 epoch_Time:0.0min:
Epoch:[6/20](200/319) loss:2.644 lr:0.000091707768 epoch_Time:0.0min:
Epoch:[6/20](300/319) loss:1.037 lr:0.000089766423 epoch_Time:0.0min:
Epoch:[7/20](0/319) loss:2.350 lr:0.000089389263 epoch_Time:28.0min:
Epoch:[7/20](100/319) loss:2.687 lr:0.000087362594 epoch_Time:0.0min:
Epoch:[7/20](200/319) loss:2.629 lr:0.000085269592 epoch_Time:0.0min:
Epoch:[7/20](300/319) loss:0.967 lr:0.000083115331 epoch_Time:0.0min:
Epoch:[8/20](0/319) loss:2.319 lr:0.000082699525 epoch_Time:28.0min:
Epoch:[8/20](100/319) loss:2.659 lr:0.000080479183 epoch_Time:0.0min:
Epoch:[8/20](200/319) loss:2.616 lr:0.000078209195 epoch_Time:0.0min:
Epoch:[8/20](300/319) loss:0.909 lr:0.000075895064 epoch_Time:0.0min:
Epoch:[9/20](0/319) loss:2.293 lr:0.000075450850 epoch_Time:26.0min:
Epoch:[9/20](100/319) loss:2.636 lr:0.000073091507 epoch_Time:0.0min:
Epoch:[9/20](200/319) loss:2.605 lr:0.000070700427 epoch_Time:0.0min:
Epoch:[9/20](300/319) loss:0.861 lr:0.000068283407 epoch_Time:0.0min:
Epoch:[10/20](0/319) loss:2.270 lr:0.000067821723 epoch_Time:27.0min:
Epoch:[10/20](100/319) loss:2.616 lr:0.000065381474 epoch_Time:0.0min:
Epoch:[10/20](200/319) loss:2.597 lr:0.000062928179 epoch_Time:0.0min:
Epoch:[10/20](300/319) loss:0.822 lr:0.000060467785 epoch_Time:0.0min:
Epoch:[11/20](0/319) loss:2.250 lr:0.000060000000 epoch_Time:28.0min:
Epoch:[11/20](100/319) loss:2.600 lr:0.000057538932 epoch_Time:0.0min:
Epoch:[11/20](200/319) loss:2.591 lr:0.000055083829 epoch_Time:0.0min:
Epoch:[11/20](300/319) loss:0.790 lr:0.000052640645 epoch_Time:0.0min:
Epoch:[12/20](0/319) loss:2.233 lr:0.000052178277 epoch_Time:27.0min:
Epoch:[12/20](100/319) loss:2.587 lr:0.000049756989 epoch_Time:0.0min:
Epoch:[12/20](200/319) loss:2.586 lr:0.000047360532 epoch_Time:0.0min:
Epoch:[12/20](300/319) loss:0.764 lr:0.000044994717 epoch_Time:0.0min:
Epoch:[13/20](0/319) loss:2.219 lr:0.000044549150 epoch_Time:29.0min:
Epoch:[13/20](100/319) loss:2.576 lr:0.000042227263 epoch_Time:0.0min:
Epoch:[13/20](200/319) loss:2.582 lr:0.000039948461 epoch_Time:0.0min:
Epoch:[13/20](300/319) loss:0.743 lr:0.000037718268 epoch_Time:0.0min:
Epoch:[14/20](0/319) loss:2.207 lr:0.000037300475 epoch_Time:29.0min:
Epoch:[14/20](100/319) loss:2.567 lr:0.000035135161 epoch_Time:0.0min:
Epoch:[14/20](200/319) loss:2.579 lr:0.000033030125 epoch_Time:0.0min:
Epoch:[14/20](300/319) loss:0.726 lr:0.000030990470 epoch_Time:0.0min:
Epoch:[15/20](0/319) loss:2.197 lr:0.000030610737 epoch_Time:30.0min:
Epoch:[15/20](100/319) loss:2.560 lr:0.000028655314 epoch_Time:0.0min:
Epoch:[15/20](200/319) loss:2.576 lr:0.000026775877 epoch_Time:0.0min:
Epoch:[15/20](300/319) loss:0.713 lr:0.000024976982 epoch_Time:0.0min:
Epoch:[16/20](0/319) loss:2.189 lr:0.000024644661 epoch_Time:29.0min:
Epoch:[16/20](100/319) loss:2.554 lr:0.000022947277 epoch_Time:1.0min:
Epoch:[16/20](200/319) loss:2.573 lr:0.000021339717 epoch_Time:0.0min:
Epoch:[16/20](300/319) loss:0.703 lr:0.000019825878 epoch_Time:0.0min:
Epoch:[17/20](0/319) loss:2.182 lr:0.000019549150 epoch_Time:28.0min:
Epoch:[17/20](100/319) loss:2.550 lr:0.000018151601 epoch_Time:0.0min:
Epoch:[17/20](200/319) loss:2.571 lr:0.000016855502 epoch_Time:0.0min:
Epoch:[17/20](300/319) loss:0.696 lr:0.000015663994 epoch_Time:0.0min:
Epoch:[18/20](0/319) loss:2.176 lr:0.000015449674 epoch_Time:27.0min:
Epoch:[18/20](100/319) loss:2.547 lr:0.000014386372 epoch_Time:0.0min:
Epoch:[18/20](200/319) loss:2.570 lr:0.000013433647 epoch_Time:0.0min:
Epoch:[18/20](300/319) loss:0.690 lr:0.000012593809 epoch_Time:0.0min:
Epoch:[19/20](0/319) loss:2.172 lr:0.000012447174 epoch_Time:28.0min:
Epoch:[19/20](100/319) loss:2.545 lr:0.000011744301 epoch_Time:0.0min:
Epoch:[19/20](200/319) loss:2.569 lr:0.000011158410 epoch_Time:0.0min:
Epoch:[19/20](300/319) loss:0.685 lr:0.000010690922 epoch_Time:0.0min:
Epoch:[20/20](0/319) loss:2.169 lr:0.000010615583 epoch_Time:27.0min:
Epoch:[20/20](100/319) loss:2.543 lr:0.000010290446 epoch_Time:0.0min:
Epoch:[20/20](200/319) loss:2.568 lr:0.000010085816 epoch_Time:0.0min:
Epoch:[20/20](300/319) loss:0.680 lr:0.000010002188 epoch_Time:0.0min:
