LLM 总参数量: 25960960
LoRA 参数量: 131072
LoRA 参数占比: 0.50%
Epoch:[1/20](0/647) loss:2.766 lr:0.000110000000 epoch_Time:57.0min:
Epoch:[1/20](100/647) loss:3.039 lr:0.000109985265 epoch_Time:1.0min:
Epoch:[1/20](200/647) loss:2.835 lr:0.000109941069 epoch_Time:1.0min:
Epoch:[1/20](300/647) loss:2.008 lr:0.000109867437 epoch_Time:1.0min:
Epoch:[1/20](400/647) loss:2.243 lr:0.000109764414 epoch_Time:1.0min:
Epoch:[1/20](500/647) loss:2.712 lr:0.000109632059 epoch_Time:0.0min:
Epoch:[1/20](600/647) loss:2.302 lr:0.000109470452 epoch_Time:0.0min:
Epoch:[2/20](0/647) loss:2.880 lr:0.000109384417 epoch_Time:59.0min:
Epoch:[2/20](100/647) loss:2.962 lr:0.000109179985 epoch_Time:1.0min:
Epoch:[2/20](200/647) loss:2.752 lr:0.000108946567 epoch_Time:1.0min:
Epoch:[2/20](300/647) loss:1.939 lr:0.000108684299 epoch_Time:1.0min:
Epoch:[2/20](400/647) loss:2.168 lr:0.000108393337 epoch_Time:1.0min:
Epoch:[2/20](500/647) loss:2.694 lr:0.000108073852 epoch_Time:0.0min:
Epoch:[2/20](600/647) loss:1.676 lr:0.000107726032 epoch_Time:0.0min:
Epoch:[3/20](0/647) loss:2.657 lr:0.000107552826 epoch_Time:58.0min:
Epoch:[3/20](100/647) loss:2.880 lr:0.000107163731 epoch_Time:1.0min:
Epoch:[3/20](200/647) loss:2.705 lr:0.000106746838 epoch_Time:1.0min:
Epoch:[3/20](300/647) loss:1.911 lr:0.000106302392 epoch_Time:1.0min:
Epoch:[3/20](400/647) loss:2.127 lr:0.000105830655 epoch_Time:1.0min:
Epoch:[3/20](500/647) loss:2.677 lr:0.000105331906 epoch_Time:0.0min:
Epoch:[3/20](600/647) loss:1.373 lr:0.000104806438 epoch_Time:0.0min:
Epoch:[4/20](0/647) loss:2.567 lr:0.000104550326 epoch_Time:56.0min:
Epoch:[4/20](100/647) loss:2.807 lr:0.000103986149 epoch_Time:1.0min:
Epoch:[4/20](200/647) loss:2.664 lr:0.000103396046 epoch_Time:1.0min:
Epoch:[4/20](300/647) loss:1.885 lr:0.000102780366 epoch_Time:1.0min:
Epoch:[4/20](400/647) loss:2.092 lr:0.000102139471 epoch_Time:1.0min:
Epoch:[4/20](500/647) loss:2.663 lr:0.000101473739 epoch_Time:0.0min:
Epoch:[4/20](600/647) loss:1.172 lr:0.000100783562 epoch_Time:0.0min:
Epoch:[5/20](0/647) loss:2.510 lr:0.000100450850 epoch_Time:58.0min:
Epoch:[5/20](100/647) loss:2.748 lr:0.000099725482 epoch_Time:2.0min:
Epoch:[5/20](200/647) loss:2.632 lr:0.000098976700 epoch_Time:1.0min:
Epoch:[5/20](300/647) loss:1.863 lr:0.000098204945 epoch_Time:1.0min:
Epoch:[5/20](400/647) loss:2.062 lr:0.000097410673 epoch_Time:1.0min:
Epoch:[5/20](500/647) loss:2.653 lr:0.000096594350 epoch_Time:0.0min:
Epoch:[5/20](600/647) loss:1.024 lr:0.000095756459 epoch_Time:0.0min:
Epoch:[6/20](0/647) loss:2.471 lr:0.000095355339 epoch_Time:64.0min:
Epoch:[6/20](100/647) loss:2.705 lr:0.000094486642 epoch_Time:2.0min:
Epoch:[6/20](200/647) loss:2.611 lr:0.000093597618 epoch_Time:1.0min:
Epoch:[6/20](300/647) loss:1.843 lr:0.000092688792 epoch_Time:1.0min:
Epoch:[6/20](400/647) loss:2.037 lr:0.000091760700 epoch_Time:1.0min:
Epoch:[6/20](500/647) loss:2.646 lr:0.000090813887 epoch_Time:0.0min:
Epoch:[6/20](600/647) loss:0.907 lr:0.000089848913 epoch_Time:0.0min:
Epoch:[7/20](0/647) loss:2.436 lr:0.000089389263 epoch_Time:59.0min:
Epoch:[7/20](100/647) loss:2.673 lr:0.000088398626 epoch_Time:1.0min:
Epoch:[7/20](200/647) loss:2.596 lr:0.000087391252 epoch_Time:1.0min:
Epoch:[7/20](300/647) loss:1.828 lr:0.000086367733 epoch_Time:1.0min:
Epoch:[7/20](400/647) loss:2.018 lr:0.000085328673 epoch_Time:1.0min:
Epoch:[7/20](500/647) loss:2.642 lr:0.000084274684 epoch_Time:0.0min:
Epoch:[7/20](600/647) loss:0.817 lr:0.000083206388 epoch_Time:0.0min:
Epoch:[8/20](0/647) loss:2.401 lr:0.000082699525 epoch_Time:62.0min:
Epoch:[8/20](100/647) loss:2.646 lr:0.000081611342 epoch_Time:2.0min:
Epoch:[8/20](200/647) loss:2.585 lr:0.000080510422 epoch_Time:1.0min:
Epoch:[8/20](300/647) loss:1.814 lr:0.000079397412 epoch_Time:1.0min:
Epoch:[8/20](400/647) loss:2.003 lr:0.000078272970 epoch_Time:1.0min:
Epoch:[8/20](500/647) loss:2.640 lr:0.000077137758 epoch_Time:0.0min:
Epoch:[8/20](600/647) loss:0.744 lr:0.000075992445 epoch_Time:0.0min:
Epoch:[9/20](0/647) loss:2.367 lr:0.000075450850 epoch_Time:67.0min:
Epoch:[9/20](100/647) loss:2.622 lr:0.000074291915 epoch_Time:2.0min:
Epoch:[9/20](200/647) loss:2.575 lr:0.000073124557 epoch_Time:1.0min:
Epoch:[9/20](300/647) loss:1.803 lr:0.000071949463 epoch_Time:1.0min:
Epoch:[9/20](400/647) loss:1.992 lr:0.000070767326 epoch_Time:1.0min:
Epoch:[9/20](500/647) loss:2.638 lr:0.000069578843 epoch_Time:0.0min:
Epoch:[9/20](600/647) loss:0.686 lr:0.000068384714 epoch_Time:0.0min:
Epoch:[10/20](0/647) loss:2.336 lr:0.000067821723 epoch_Time:63.0min:
Epoch:[10/20](100/647) loss:2.602 lr:0.000066620574 epoch_Time:2.0min:
Epoch:[10/20](200/647) loss:2.568 lr:0.000065415522 epoch_Time:1.0min:
Epoch:[10/20](300/647) loss:1.793 lr:0.000064207278 epoch_Time:1.0min:
