LLM 总参数量: 25960960
LoRA 参数量: 131072
LoRA 参数占比: 0.50%
Epoch:[1/20](0/397) loss:3.177 lr:0.000110000000 epoch_Time:33.0min:
Epoch:[1/20](100/397) loss:2.264 lr:0.000109960867 epoch_Time:1.0min:
Epoch:[1/20](200/397) loss:2.036 lr:0.000109843530 epoch_Time:1.0min:
Epoch:[1/20](300/397) loss:2.940 lr:0.000109648171 epoch_Time:0.0min:
Epoch:[2/20](0/397) loss:3.395 lr:0.000109384417 epoch_Time:34.0min:
Epoch:[2/20](100/397) loss:2.218 lr:0.000109036367 epoch_Time:1.0min:
Epoch:[2/20](200/397) loss:2.001 lr:0.000108611560 epoch_Time:1.0min:
Epoch:[2/20](300/397) loss:1.298 lr:0.000108110660 epoch_Time:0.0min:
Epoch:[3/20](0/397) loss:3.231 lr:0.000107552826 epoch_Time:34.0min:
Epoch:[3/20](100/397) loss:2.187 lr:0.000106904429 epoch_Time:1.0min:
Epoch:[3/20](200/397) loss:1.970 lr:0.000106182612 epoch_Time:1.0min:
Epoch:[3/20](300/397) loss:1.061 lr:0.000105388505 epoch_Time:0.0min:
Epoch:[4/20](0/397) loss:3.160 lr:0.000104550326 epoch_Time:35.0min:
Epoch:[4/20](100/397) loss:2.174 lr:0.000103617549 epoch_Time:1.0min:
Epoch:[4/20](200/397) loss:1.945 lr:0.000102616496 epoch_Time:1.0min:
Epoch:[4/20](300/397) loss:0.931 lr:0.000101548734 epoch_Time:0.0min:
Epoch:[5/20](0/397) loss:3.130 lr:0.000100450850 epoch_Time:36.0min:
Epoch:[5/20](100/397) loss:2.160 lr:0.000099256659 epoch_Time:1.0min:
Epoch:[5/20](200/397) loss:1.922 lr:0.000098001019 epoch_Time:1.0min:
Epoch:[5/20](300/397) loss:0.833 lr:0.000096685896 epoch_Time:0.0min:
Epoch:[6/20](0/397) loss:3.102 lr:0.000095355339 epoch_Time:35.0min:
Epoch:[6/20](100/397) loss:2.144 lr:0.000093929140 epoch_Time:1.0min:
Epoch:[6/20](200/397) loss:1.901 lr:0.000092449832 epoch_Time:1.0min:
Epoch:[6/20](300/397) loss:0.748 lr:0.000090919729 epoch_Time:0.0min:
Epoch:[7/20](0/397) loss:3.075 lr:0.000089389263 epoch_Time:35.0min:
Epoch:[7/20](100/397) loss:2.126 lr:0.000087766174 epoch_Time:1.0min:
Epoch:[7/20](200/397) loss:1.881 lr:0.000086099622 epoch_Time:1.0min:
Epoch:[7/20](300/397) loss:0.675 lr:0.000084392215 epoch_Time:0.0min:
Epoch:[8/20](0/397) loss:3.054 lr:0.000082699525 epoch_Time:37.0min:
Epoch:[8/20](100/397) loss:2.109 lr:0.000080919511 epoch_Time:1.0min:
Epoch:[8/20](200/397) loss:1.864 lr:0.000079106752 epoch_Time:1.0min:
Epoch:[8/20](300/397) loss:0.613 lr:0.000077264085 epoch_Time:0.0min:
Epoch:[9/20](0/397) loss:3.037 lr:0.000075450850 epoch_Time:38.0min:
Epoch:[9/20](100/397) loss:2.093 lr:0.000073557741 epoch_Time:1.0min:
Epoch:[9/20](200/397) loss:1.850 lr:0.000071643411 epoch_Time:1.0min:
Epoch:[9/20](300/397) loss:0.560 lr:0.000069710855 epoch_Time:0.0min:
Epoch:[10/20](0/397) loss:3.022 lr:0.000067821723 epoch_Time:37.0min:
Epoch:[10/20](100/397) loss:2.079 lr:0.000065862135 epoch_Time:1.0min:
Epoch:[10/20](200/397) loss:1.838 lr:0.000063893371 epoch_Time:1.0min:
Epoch:[10/20](300/397) loss:0.514 lr:0.000061918512 epoch_Time:0.0min:
Epoch:[11/20](0/397) loss:3.007 lr:0.000060000000 epoch_Time:35.0min:
