LLM 总参数量: 25960960
LoRA 参数量: 131072
LoRA 参数占比: 0.50%
Epoch:[1/30](0/1179) loss:2.766 lr:0.000110000000 epoch_Time:103.0min:
Epoch:[1/30](100/1179) loss:3.038 lr:0.000109998028 epoch_Time:3.0min:
Epoch:[1/30](200/1179) loss:2.836 lr:0.000109992111 epoch_Time:3.0min:
Epoch:[1/30](300/1179) loss:2.008 lr:0.000109982250 epoch_Time:2.0min:
Epoch:[1/30](400/1179) loss:2.243 lr:0.000109968447 epoch_Time:2.0min:
Epoch:[1/30](500/1179) loss:2.712 lr:0.000109950701 epoch_Time:1.0min:
Epoch:[1/30](600/1179) loss:3.252 lr:0.000109929015 epoch_Time:1.0min:
Epoch:[1/30](700/1179) loss:2.898 lr:0.000109903389 epoch_Time:1.0min:
Epoch:[1/30](800/1179) loss:2.001 lr:0.000109873827 epoch_Time:1.0min:
Epoch:[1/30](900/1179) loss:2.195 lr:0.000109840330 epoch_Time:0.0min:
Epoch:[1/30](1000/1179) loss:3.223 lr:0.000109802901 epoch_Time:0.0min:
Epoch:[1/30](1100/1179) loss:2.548 lr:0.000109761543 epoch_Time:0.0min:
Epoch:[2/30](0/1179) loss:2.577 lr:0.000109726095 epoch_Time:104.0min:
Epoch:[2/30](100/1179) loss:2.838 lr:0.000109677712 epoch_Time:3.0min:
Epoch:[2/30](200/1179) loss:2.682 lr:0.000109625411 epoch_Time:3.0min:
Epoch:[2/30](300/1179) loss:1.885 lr:0.000109569194 epoch_Time:2.0min:
Epoch:[2/30](400/1179) loss:2.114 lr:0.000109509067 epoch_Time:2.0min:
Epoch:[2/30](500/1179) loss:2.686 lr:0.000109445034 epoch_Time:1.0min:
Epoch:[2/30](600/1179) loss:2.981 lr:0.000109377101 epoch_Time:1.0min:
Epoch:[2/30](700/1179) loss:2.775 lr:0.000109305272 epoch_Time:1.0min:
Epoch:[2/30](800/1179) loss:1.945 lr:0.000109229553 epoch_Time:1.0min:
Epoch:[2/30](900/1179) loss:2.102 lr:0.000109149951 epoch_Time:0.0min:
Epoch:[2/30](1000/1179) loss:3.208 lr:0.000109066471 epoch_Time:0.0min:
Epoch:[2/30](1100/1179) loss:2.531 lr:0.000108979120 epoch_Time:0.0min:
Epoch:[3/30](0/1179) loss:2.418 lr:0.000108907380 epoch_Time:103.0min:
Epoch:[3/30](100/1179) loss:2.713 lr:0.000108813118 epoch_Time:3.0min:
Epoch:[3/30](200/1179) loss:2.602 lr:0.000108715004 epoch_Time:3.0min:
Epoch:[3/30](300/1179) loss:1.838 lr:0.000108613048 epoch_Time:2.0min:
Epoch:[3/30](400/1179) loss:2.043 lr:0.000108507256 epoch_Time:2.0min:
Epoch:[3/30](500/1179) loss:2.657 lr:0.000108397638 epoch_Time:1.0min:
Epoch:[3/30](600/1179) loss:2.837 lr:0.000108284201 epoch_Time:1.0min:
Epoch:[3/30](700/1179) loss:2.700 lr:0.000108166956 epoch_Time:1.0min:
Epoch:[3/30](800/1179) loss:1.902 lr:0.000108045910 epoch_Time:1.0min:
Epoch:[3/30](900/1179) loss:2.040 lr:0.000107921074 epoch_Time:0.0min:
