LLM 总参数量: 25960960
LoRA 参数量: 131072
LoRA 参数占比: 0.50%
Epoch:[1/30](0/795) loss:2.576 lr:0.000110000000 epoch_Time:66.0min:
Epoch:[1/30](100/795) loss:2.238 lr:0.000109995662 epoch_Time:2.0min:
Epoch:[1/30](200/795) loss:2.089 lr:0.000109982650 epoch_Time:2.0min:
Epoch:[1/30](300/795) loss:2.213 lr:0.000109960965 epoch_Time:1.0min:
Epoch:[1/30](400/795) loss:1.867 lr:0.000109930612 epoch_Time:1.0min:
Epoch:[1/30](500/795) loss:2.181 lr:0.000109891596 epoch_Time:0.0min:
Epoch:[1/30](600/795) loss:1.928 lr:0.000109843923 epoch_Time:0.0min:
Epoch:[1/30](700/795) loss:1.914 lr:0.000109787602 epoch_Time:0.0min:
Epoch:[2/30](0/795) loss:2.065 lr:0.000109726095 epoch_Time:65.0min:
Epoch:[2/30](100/795) loss:1.846 lr:0.000109652939 epoch_Time:2.0min:
Epoch:[2/30](200/795) loss:2.273 lr:0.000109571168 epoch_Time:2.0min:
Epoch:[2/30](300/795) loss:1.892 lr:0.000109480796 epoch_Time:1.0min:
Epoch:[2/30](400/795) loss:1.834 lr:0.000109381839 epoch_Time:1.0min:
Epoch:[2/30](500/795) loss:1.705 lr:0.000109274313 epoch_Time:0.0min:
Epoch:[2/30](600/795) loss:2.075 lr:0.000109158239 epoch_Time:0.0min:
Epoch:[2/30](700/795) loss:1.790 lr:0.000109033634 epoch_Time:0.0min:
Epoch:[3/30](0/795) loss:1.680 lr:0.000108907380 epoch_Time:65.0min:
Epoch:[3/30](100/795) loss:1.727 lr:0.000108766207 epoch_Time:2.0min:
Epoch:[3/30](200/795) loss:1.974 lr:0.000108616573 epoch_Time:2.0min:
Epoch:[3/30](300/795) loss:1.793 lr:0.000108458504 epoch_Time:1.0min:
Epoch:[3/30](400/795) loss:2.126 lr:0.000108292027 epoch_Time:1.0min:
Epoch:[3/30](500/795) loss:2.174 lr:0.000108117171 epoch_Time:0.0min:
Epoch:[3/30](600/795) loss:2.227 lr:0.000107933966 epoch_Time:0.0min:
Epoch:[3/30](700/795) loss:2.222 lr:0.000107742445 epoch_Time:0.0min:
Epoch:[4/30](0/795) loss:1.974 lr:0.000107552826 epoch_Time:66.0min:
Epoch:[4/30](100/795) loss:1.717 lr:0.000107345183 epoch_Time:2.0min:
Epoch:[4/30](200/795) loss:1.881 lr:0.000107129326 epoch_Time:2.0min:
Epoch:[4/30](300/795) loss:2.005 lr:0.000106905291 epoch_Time:1.0min:
Epoch:[4/30](400/795) loss:1.353 lr:0.000106673118 epoch_Time:1.0min:
Epoch:[4/30](500/795) loss:1.791 lr:0.000106432847 epoch_Time:0.0min:
Epoch:[4/30](600/795) loss:1.852 lr:0.000106184519 epoch_Time:0.0min:
Epoch:[4/30](700/795) loss:2.047 lr:0.000105928179 epoch_Time:0.0min:
Epoch:[5/30](0/795) loss:1.699 lr:0.000105677273 epoch_Time:67.0min:
Epoch:[5/30](100/795) loss:1.699 lr:0.000105405435 epoch_Time:2.0min:
Epoch:[5/30](200/795) loss:1.893 lr:0.000105125719 epoch_Time:2.0min:
Epoch:[5/30](300/795) loss:1.544 lr:0.000104838174 epoch_Time:1.0min:
Epoch:[5/30](400/795) loss:1.642 lr:0.000104542849 epoch_Time:1.0min:
Epoch:[5/30](500/795) loss:1.976 lr:0.000104239795 epoch_Time:0.0min:
Epoch:[5/30](600/795) loss:1.763 lr:0.000103929065 epoch_Time:0.0min:
Epoch:[5/30](700/795) loss:1.786 lr:0.000103610714 epoch_Time:0.0min:
Epoch:[6/30](0/795) loss:1.689 lr:0.000103301270 epoch_Time:67.0min:
Epoch:[6/30](100/795) loss:2.093 lr:0.000102968216 epoch_Time:2.0min:
Epoch:[6/30](200/795) loss:1.641 lr:0.000102627706 epoch_Time:2.0min:
Epoch:[6/30](300/795) loss:1.456 lr:0.000102279800 epoch_Time:1.0min:
Epoch:[6/30](400/795) loss:1.764 lr:0.000101924558 epoch_Time:1.0min:
Epoch:[6/30](500/795) loss:1.561 lr:0.000101562043 epoch_Time:0.0min:
Epoch:[6/30](600/795) loss:1.595 lr:0.000101192315 epoch_Time:0.0min:
Epoch:[6/30](700/795) loss:2.018 lr:0.000100815441 epoch_Time:0.0min:
Epoch:[7/30](0/795) loss:2.133 lr:0.000100450850 epoch_Time:67.0min:
Epoch:[7/30](100/795) loss:1.748 lr:0.000100060228 epoch_Time:2.0min:
Epoch:[7/30](200/795) loss:1.388 lr:0.000099662655 epoch_Time:2.0min:
Epoch:[7/30](300/795) loss:2.030 lr:0.000099258200 epoch_Time:1.0min:
Epoch:[7/30](400/795) loss:1.529 lr:0.000098846934 epoch_Time:1.0min:
Epoch:[7/30](500/795) loss:1.840 lr:0.000098428928 epoch_Time:0.0min:
Epoch:[7/30](600/795) loss:1.311 lr:0.000098004254 epoch_Time:0.0min:
Epoch:[7/30](700/795) loss:1.543 lr:0.000097572985 epoch_Time:0.0min:
Epoch:[8/30](0/795) loss:1.780 lr:0.000097157241 epoch_Time:67.0min:
Epoch:[8/30](100/795) loss:1.585 lr:0.000096713331 epoch_Time:2.0min:
Epoch:[8/30](200/795) loss:1.386 lr:0.000096263051 epoch_Time:2.0min:
Epoch:[8/30](300/795) loss:1.253 lr:0.000095806479 epoch_Time:1.0min:
Epoch:[8/30](400/795) loss:1.915 lr:0.000095343694 epoch_Time:1.0min:
Epoch:[8/30](500/795) loss:1.585 lr:0.000094874777 epoch_Time:0.0min:
Epoch:[8/30](600/795) loss:1.679 lr:0.000094399809 epoch_Time:0.0min:
Epoch:[8/30](700/795) loss:1.908 lr:0.000093918873 epoch_Time:0.0min:
Epoch:[9/30](0/795) loss:1.868 lr:0.000093456530 epoch_Time:74.0min:
Epoch:[9/30](100/795) loss:1.662 lr:0.000092964196 epoch_Time:2.0min:
Epoch:[9/30](200/795) loss:2.004 lr:0.000092466142 epoch_Time:2.0min:
Epoch:[9/30](300/795) loss:1.452 lr:0.000091962455 epoch_Time:1.0min:
Epoch:[9/30](400/795) loss:1.970 lr:0.000091453222 epoch_Time:1.0min:
Epoch:[9/30](500/795) loss:1.757 lr:0.000090938532 epoch_Time:0.0min:
Epoch:[9/30](600/795) loss:1.336 lr:0.000090418473 epoch_Time:0.0min:
Epoch:[9/30](700/795) loss:1.546 lr:0.000089893137 epoch_Time:0.0min:
Epoch:[10/30](0/795) loss:1.376 lr:0.000089389263 epoch_Time:73.0min:
Epoch:[10/30](100/795) loss:1.252 lr:0.000088853898 epoch_Time:2.0min:
Epoch:[10/30](200/795) loss:1.886 lr:0.000088313527 epoch_Time:2.0min:
Epoch:[10/30](300/795) loss:1.722 lr:0.000087768243 epoch_Time:1.0min:
Epoch:[10/30](400/795) loss:1.956 lr:0.000087218141 epoch_Time:1.0min:
Epoch:[10/30](500/795) loss:1.773 lr:0.000086663317 epoch_Time:0.0min:
Epoch:[10/30](600/795) loss:1.540 lr:0.000086103866 epoch_Time:0.0min:
Epoch:[10/30](700/795) loss:1.810 lr:0.000085539887 epoch_Time:0.0min:
Epoch:[11/30](0/795) loss:1.594 lr:0.000085000000 epoch_Time:73.0min:
