LLM 总参数量: 25960960
LoRA 参数量: 131072
LoRA 参数占比: 0.50%
Epoch:[1/30](0/795) loss:2.576 lr:0.001100000000 epoch_Time:65.0min:
Epoch:[1/30](100/795) loss:1.927 lr:0.001099956623 epoch_Time:2.0min:
Epoch:[1/30](200/795) loss:1.925 lr:0.001099826501 epoch_Time:2.0min:
Epoch:[1/30](300/795) loss:1.956 lr:0.001099609655 epoch_Time:1.0min:
Epoch:[1/30](400/795) loss:1.619 lr:0.001099306123 epoch_Time:1.0min:
Epoch:[1/30](500/795) loss:1.850 lr:0.001098915958 epoch_Time:0.0min:
Epoch:[1/30](600/795) loss:1.632 lr:0.001098439228 epoch_Time:0.0min:
Epoch:[1/30](700/795) loss:1.678 lr:0.001097876015 epoch_Time:0.0min:
Epoch:[2/30](0/795) loss:1.916 lr:0.001097260948 epoch_Time:73.0min:
Epoch:[2/30](100/795) loss:1.586 lr:0.001096529389 epoch_Time:2.0min:
Epoch:[2/30](200/795) loss:2.103 lr:0.001095711678 epoch_Time:2.0min:
Epoch:[2/30](300/795) loss:1.671 lr:0.001094807958 epoch_Time:1.0min:
Epoch:[2/30](400/795) loss:1.617 lr:0.001093818386 epoch_Time:1.0min:
Epoch:[2/30](500/795) loss:1.477 lr:0.001092743133 epoch_Time:0.0min:
Epoch:[2/30](600/795) loss:1.866 lr:0.001091582385 epoch_Time:0.0min:
Epoch:[2/30](700/795) loss:1.627 lr:0.001090336345 epoch_Time:0.0min:
Epoch:[3/30](0/795) loss:1.453 lr:0.001089073800 epoch_Time:66.0min:
Epoch:[3/30](100/795) loss:1.444 lr:0.001087662074 epoch_Time:2.0min:
Epoch:[3/30](200/795) loss:1.808 lr:0.001086165735 epoch_Time:2.0min:
Epoch:[3/30](300/795) loss:1.605 lr:0.001084585043 epoch_Time:1.0min:
Epoch:[3/30](400/795) loss:2.005 lr:0.001082920271 epoch_Time:1.0min:
Epoch:[3/30](500/795) loss:1.976 lr:0.001081171710 epoch_Time:0.0min:
Epoch:[3/30](600/795) loss:2.057 lr:0.001079339663 epoch_Time:0.0min:
Epoch:[3/30](700/795) loss:2.063 lr:0.001077424446 epoch_Time:0.0min:
Epoch:[4/30](0/795) loss:1.821 lr:0.001075528258 epoch_Time:71.0min:
Epoch:[4/30](100/795) loss:1.556 lr:0.001073451832 epoch_Time:2.0min:
Epoch:[4/30](200/795) loss:1.721 lr:0.001071293258 epoch_Time:2.0min:
Epoch:[4/30](300/795) loss:1.849 lr:0.001069052912 epoch_Time:1.0min:
Epoch:[4/30](400/795) loss:1.240 lr:0.001066731181 epoch_Time:1.0min:
Epoch:[4/30](500/795) loss:1.655 lr:0.001064328470 epoch_Time:0.0min:
Epoch:[4/30](600/795) loss:1.671 lr:0.001061845195 epoch_Time:0.0min:
Epoch:[4/30](700/795) loss:1.939 lr:0.001059281786 epoch_Time:0.0min:
Epoch:[5/30](0/795) loss:1.514 lr:0.001056772729 epoch_Time:75.0min:
Epoch:[5/30](100/795) loss:1.486 lr:0.001054054352 epoch_Time:2.0min:
Epoch:[5/30](200/795) loss:1.786 lr:0.001051257193 epoch_Time:2.0min:
