LLM 总参数量: 25960960
LoRA 参数量: 131072
LoRA 参数占比: 0.50%
Epoch:[1/30](0/416) loss:2.452 lr:0.000110000000 epoch_Time:33.0min:
Epoch:[1/30](100/416) loss:2.164 lr:0.000109984159 epoch_Time:1.0min:
Epoch:[1/30](200/416) loss:2.070 lr:0.000109936645 epoch_Time:1.0min:
Epoch:[1/30](300/416) loss:1.941 lr:0.000109857490 epoch_Time:1.0min:
Epoch:[1/30](400/416) loss:1.795 lr:0.000109746742 epoch_Time:0.0min:
Epoch:[2/30](0/416) loss:2.094 lr:0.000109726095 epoch_Time:34.0min:
Epoch:[2/30](100/416) loss:1.914 lr:0.000109578789 epoch_Time:1.0min:
Epoch:[2/30](200/416) loss:1.966 lr:0.000109400069 epoch_Time:1.0min:
Epoch:[2/30](300/416) loss:1.864 lr:0.000109190046 epoch_Time:1.0min:
Epoch:[2/30](400/416) loss:1.969 lr:0.000108948853 epoch_Time:0.0min:
Epoch:[3/30](0/416) loss:2.108 lr:0.000108907380 epoch_Time:34.0min:
Epoch:[3/30](100/416) loss:1.728 lr:0.000108630224 epoch_Time:1.0min:
Epoch:[3/30](200/416) loss:2.033 lr:0.000108322254 epoch_Time:1.0min:
Epoch:[3/30](300/416) loss:2.099 lr:0.000107983665 epoch_Time:1.0min:
Epoch:[3/30](400/416) loss:1.776 lr:0.000107614671 epoch_Time:0.0min:
Epoch:[4/30](0/416) loss:1.918 lr:0.000107552826 epoch_Time:35.0min:
Epoch:[4/30](100/416) loss:1.990 lr:0.000107148857 epoch_Time:1.0min:
Epoch:[4/30](200/416) loss:1.790 lr:0.000106715011 epoch_Time:1.0min:
Epoch:[4/30](300/416) loss:2.042 lr:0.000106251566 epoch_Time:1.0min:
Epoch:[4/30](400/416) loss:2.171 lr:0.000105758812 epoch_Time:0.0min:
Epoch:[5/30](0/416) loss:1.637 lr:0.000105677273 epoch_Time:34.0min:
Epoch:[5/30](100/416) loss:1.927 lr:0.000105150916 epoch_Time:1.0min:
Epoch:[5/30](200/416) loss:1.910 lr:0.000104595949 epoch_Time:1.0min:
Epoch:[5/30](300/416) loss:1.892 lr:0.000104012724 epoch_Time:1.0min:
Epoch:[5/30](400/416) loss:1.758 lr:0.000103401611 epoch_Time:0.0min:
Epoch:[6/30](0/416) loss:1.975 lr:0.000103301270 epoch_Time:35.0min:
Epoch:[6/30](100/416) loss:1.962 lr:0.000102658292 epoch_Time:1.0min:
Epoch:[6/30](200/416) loss:2.060 lr:0.000101988284 epoch_Time:1.0min:
Epoch:[6/30](300/416) loss:1.776 lr:0.000101291670 epoch_Time:1.0min:
Epoch:[6/30](400/416) loss:1.863 lr:0.000100568892 epoch_Time:0.0min:
Epoch:[7/30](0/416) loss:1.740 lr:0.000100450850 epoch_Time:34.0min:
Epoch:[7/30](100/416) loss:1.927 lr:0.000099698296 epoch_Time:1.0min:
Epoch:[7/30](200/416) loss:1.775 lr:0.000098920587 epoch_Time:1.0min:
Epoch:[7/30](300/416) loss:1.568 lr:0.000098118216 epoch_Time:1.0min:
Epoch:[7/30](400/416) loss:1.892 lr:0.000097291692 epoch_Time:0.0min:
Epoch:[8/30](0/416) loss:1.869 lr:0.000097157241 epoch_Time:35.0min:
Epoch:[8/30](100/416) loss:1.672 lr:0.000096303356 epoch_Time:1.0min:
Epoch:[8/30](200/416) loss:1.862 lr:0.000095426467 epoch_Time:1.0min:
Epoch:[8/30](300/416) loss:1.768 lr:0.000094527131 epoch_Time:1.0min:
Epoch:[8/30](400/416) loss:1.805 lr:0.000093605916 epoch_Time:0.0min:
Epoch:[9/30](0/416) loss:1.767 lr:0.000093456530 epoch_Time:36.0min:
