LLM 总参数量: 25960960
LoRA 参数量: 131072
LoRA 参数占比: 0.50%
Epoch:[1/66](0/1589) loss:2.498 lr:0.000055000000 epoch_Time:141.0min:
Epoch:[1/66](100/1589) loss:2.403 lr:0.000054999888 epoch_Time:2.0min:
Epoch:[1/66](200/1589) loss:2.180 lr:0.000054999551 epoch_Time:2.0min:
Epoch:[1/66](300/1589) loss:2.308 lr:0.000054998990 epoch_Time:1.0min:
Epoch:[1/66](400/1589) loss:1.982 lr:0.000054998205 epoch_Time:1.0min:
Epoch:[1/66](500/1589) loss:2.150 lr:0.000054997196 epoch_Time:1.0min:
Epoch:[1/66](600/1589) loss:2.553 lr:0.000054995962 epoch_Time:1.0min:
Epoch:[1/66](700/1589) loss:2.289 lr:0.000054994504 epoch_Time:1.0min:
Epoch:[1/66](800/1589) loss:1.827 lr:0.000054992822 epoch_Time:1.0min:
Epoch:[1/66](900/1589) loss:1.856 lr:0.000054990915 epoch_Time:1.0min:
Epoch:[1/66](1000/1589) loss:1.972 lr:0.000054988784 epoch_Time:0.0min:
Epoch:[1/66](1100/1589) loss:2.373 lr:0.000054986429 epoch_Time:0.0min:
Epoch:[1/66](1200/1589) loss:2.166 lr:0.000054983849 epoch_Time:0.0min:
Epoch:[1/66](1300/1589) loss:1.905 lr:0.000054981046 epoch_Time:0.0min:
Epoch:[1/66](1400/1589) loss:1.968 lr:0.000054978018 epoch_Time:0.0min:
Epoch:[1/66](1500/1589) loss:1.548 lr:0.000054974766 epoch_Time:0.0min:
Epoch:[2/66](0/1589) loss:2.058 lr:0.000054971683 epoch_Time:138.0min:
Epoch:[2/66](100/1589) loss:1.960 lr:0.000054968008 epoch_Time:2.0min:
Epoch:[2/66](200/1589) loss:1.573 lr:0.000054964109 epoch_Time:2.0min:
Epoch:[2/66](300/1589) loss:2.190 lr:0.000054959985 epoch_Time:1.0min:
Epoch:[2/66](400/1589) loss:2.240 lr:0.000054955638 epoch_Time:1.0min:
Epoch:[2/66](500/1589) loss:2.004 lr:0.000054951066 epoch_Time:1.0min:
Epoch:[2/66](600/1589) loss:1.638 lr:0.000054946271 epoch_Time:1.0min:
Epoch:[2/66](700/1589) loss:1.889 lr:0.000054941252 epoch_Time:1.0min:
Epoch:[2/66](800/1589) loss:1.444 lr:0.000054936009 epoch_Time:1.0min:
Epoch:[2/66](900/1589) loss:1.959 lr:0.000054930542 epoch_Time:1.0min:
Epoch:[2/66](1000/1589) loss:1.810 lr:0.000054924851 epoch_Time:0.0min:
Epoch:[2/66](1100/1589) loss:2.124 lr:0.000054918937 epoch_Time:0.0min:
Epoch:[2/66](1200/1589) loss:2.344 lr:0.000054912800 epoch_Time:0.0min:
Epoch:[2/66](1300/1589) loss:2.025 lr:0.000054906438 epoch_Time:0.0min:
Epoch:[2/66](1400/1589) loss:1.619 lr:0.000054899854 epoch_Time:0.0min:
Epoch:[2/66](1500/1589) loss:1.540 lr:0.000054893045 epoch_Time:0.0min:
Epoch:[3/66](0/1589) loss:1.853 lr:0.000054886798 epoch_Time:144.0min:
Epoch:[3/66](100/1589) loss:1.833 lr:0.000054879568 epoch_Time:2.0min:
Epoch:[3/66](200/1589) loss:1.731 lr:0.000054872114 epoch_Time:2.0min:
Epoch:[3/66](300/1589) loss:1.520 lr:0.000054864437 epoch_Time:1.0min:
Epoch:[3/66](400/1589) loss:2.144 lr:0.000054856537 epoch_Time:1.0min:
Epoch:[3/66](500/1589) loss:1.782 lr:0.000054848414 epoch_Time:1.0min:
Epoch:[3/66](600/1589) loss:2.071 lr:0.000054840068 epoch_Time:1.0min:
Epoch:[3/66](700/1589) loss:1.793 lr:0.000054831499 epoch_Time:1.0min:
Epoch:[3/66](800/1589) loss:2.390 lr:0.000054822708 epoch_Time:1.0min:
Epoch:[3/66](900/1589) loss:2.231 lr:0.000054813693 epoch_Time:1.0min:
Epoch:[3/66](1000/1589) loss:2.002 lr:0.000054804456 epoch_Time:0.0min:
Epoch:[3/66](1100/1589) loss:1.743 lr:0.000054794997 epoch_Time:0.0min:
Epoch:[3/66](1200/1589) loss:2.362 lr:0.000054785314 epoch_Time:0.0min:
Epoch:[3/66](1300/1589) loss:1.940 lr:0.000054775410 epoch_Time:0.0min:
Epoch:[3/66](1400/1589) loss:2.211 lr:0.000054765283 epoch_Time:0.0min:
Epoch:[3/66](1500/1589) loss:1.207 lr:0.000054754934 epoch_Time:0.0min:
Epoch:[4/66](0/1589) loss:1.833 lr:0.000054745536 epoch_Time:137.0min:
Epoch:[4/66](100/1589) loss:1.617 lr:0.000054734767 epoch_Time:2.0min:
Epoch:[4/66](200/1589) loss:1.870 lr:0.000054723776 epoch_Time:2.0min:
Epoch:[4/66](300/1589) loss:1.859 lr:0.000054712563 epoch_Time:1.0min:
Epoch:[4/66](400/1589) loss:1.863 lr:0.000054701129 epoch_Time:1.0min:
Epoch:[4/66](500/1589) loss:2.115 lr:0.000054689473 epoch_Time:1.0min:
Epoch:[4/66](600/1589) loss:1.966 lr:0.000054677595 epoch_Time:1.0min:
Epoch:[4/66](700/1589) loss:1.843 lr:0.000054665496 epoch_Time:1.0min:
Epoch:[4/66](800/1589) loss:1.498 lr:0.000054653175 epoch_Time:1.0min:
Epoch:[4/66](900/1589) loss:1.936 lr:0.000054640634 epoch_Time:1.0min:
Epoch:[4/66](1000/1589) loss:1.916 lr:0.000054627871 epoch_Time:0.0min:
Epoch:[4/66](1100/1589) loss:1.700 lr:0.000054614887 epoch_Time:0.0min:
